tweet_id,annotator_id,code
1371543968819769345,Erik,POL
1371400509131784192,Erik,PAP
1360524845642055680,Erik,POL
1370751146441252871,Erik,ACT
1366478228743929861,Erik,PAP
1363890355599519744,Erik,PAP
1369719038415413253,Erik,PAP
1371389988592574467,Erik,CON
1357799501138919431,Erik,POL
1366139631843041280,Erik,POL
1357446366046355458,Erik,ACT
1363903875967762442,Erik,POL
1371099096384221187,Erik,POL
1371155987009314817,Erik,POL
1362870715180064774,Erik,ACT
1371126375281754115,Erik,PAP
1362337711110180866,Erik,ACT
1367469560773894147,Erik,ACT
1369710618308206596,Erik,ACT
1360551538448621569,Erik,PAP
1369604258660720640,Erik,POL
1360252726303748107,Erik,PAP
1367173929614200836,Erik,ACT
1370124807866609667,Erik,PAP
1368144284189257728,Erik,CON
1361612803648405504,Erik,POL
1369041289870794752,Erik,POL
1367790243244617728,Erik,POL
1366133066406776836,Erik,POL
1371471185679106051,Erik,ACT
1371327979427618818,Erik,PAP
1358830850696245254,Erik,PAP
1372172053860777984,Erik,ACT
1371020036261961732,Erik,POL
1358784678489186304,Erik,ACT
1369906157758803968,Erik,POL
1358792883323760642,Erik,PAP
1369921035416399876,Erik,PAP
1368292267367268361,Erik,PAP
1362787102883217411,Erik,PAP
1368887863157403650,Erik,PAP
1366009736861204482,Erik,PAP
1368689609396346881,Erik,POL
1370775078871437319,Erik,ACT
1360537927076503552,Erik,PAP
1359759322620850177,Erik,ACT
1360675550042406918,Erik,ACT
1367777154256281607,Erik,PAP
1359094318284300291,Erik,ACT
1370746761195716611,Erik,PAP
1371543968819769345,Lisa,POL
1371400509131784192,Lisa,PAP
1360524845642055680,Lisa,POL
1370751146441252871,Lisa,ACT
1366478228743929861,Lisa,PAP
1363890355599519744,Lisa,PAP
1369719038415413253,Lisa,PAP
1371389988592574467,Lisa,CON
1357799501138919431,Lisa,PAP
1366139631843041280,Lisa,PAP
1357446366046355458,Lisa,ACT
1363903875967762442,Lisa,POL
1371099096384221187,Lisa,POL
1371155987009314817,Lisa,ACT
1362870715180064774,Lisa,ACT
1371126375281754115,Lisa,PAP
1362337711110180866,Lisa,PAP
1367469560773894147,Lisa,ACT
1369710618308206596,Lisa,ACT
1360551538448621569,Lisa,PAP
1369604258660720640,Lisa,POL
1360252726303748107,Lisa,PAP
1367173929614200836,Lisa,ACT
1370124807866609667,Lisa,PAP
1368144284189257728,Lisa,ACT
1361612803648405504,Lisa,POL
1369041289870794752,Lisa,POL
1367790243244617728,Lisa,POL
1366133066406776836,Lisa,PAP
1371471185679106051,Lisa,POL
1371327979427618818,Lisa,PAP
1358830850696245254,Lisa,ACT
1372172053860777984,Lisa,ACT
1371020036261961732,Lisa,POL
1358784678489186304,Lisa,ACT
1369906157758803968,Lisa,POL
1358792883323760642,Lisa,PAP
1369921035416399876,Lisa,PAP
1368292267367268361,Lisa,PAP
1362787102883217411,Lisa,PAP
1368887863157403650,Lisa,PAP
1366009736861204482,Lisa,PAP
1368689609396346881,Lisa,POL
1370775078871437319,Lisa,ACT
1360537927076503552,Lisa,ACT
1359759322620850177,Lisa,ACT
1360675550042406918,Lisa,ACT
1367777154256281607,Lisa,PAP
1359094318284300291,Lisa,POL
1370746761195716611,Lisa,PAP
1371543968819769345,Kees,POL
1371400509131784192,Kees,PAP
1360524845642055680,Kees,PAP
1370751146441252871,Kees,ACT
1366478228743929861,Kees,ACT
1363890355599519744,Kees,PAP
1369719038415413253,Kees,POL
1371389988592574467,Kees,ACT
1357799501138919431,Kees,POL
1366139631843041280,Kees,POL
1357446366046355458,Kees,ACT
1363903875967762442,Kees,POL
1371099096384221187,Kees,POL
1371155987009314817,Kees,ACT
1362870715180064774,Kees,ACT
1371126375281754115,Kees,PAP
1362337711110180866,Kees,ACT
1367469560773894147,Kees,PAP
1369710618308206596,Kees,PAP
1360551538448621569,Kees,PAP
1369604258660720640,Kees,ACT
1360252726303748107,Kees,PAP
1367173929614200836,Kees,ACT
1370124807866609667,Kees,PAP
1368144284189257728,Kees,CON
1361612803648405504,Kees,ACT
1369041289870794752,Kees,POL
1367790243244617728,Kees,POL
1366133066406776836,Kees,POL
1371471185679106051,Kees,ACT
1371327979427618818,Kees,PAP
1358830850696245254,Kees,PAP
1372172053860777984,Kees,ACT
1371020036261961732,Kees,POL
1358784678489186304,Kees,ACT
1369906157758803968,Kees,POL
1358792883323760642,Kees,PAP
1369921035416399876,Kees,ACT
1368292267367268361,Kees,POL
1362787102883217411,Kees,POL
1368887863157403650,Kees,POL
1366009736861204482,Kees,POL
1368689609396346881,Kees,POL
1370775078871437319,Kees,ACT
1360537927076503552,Kees,PAP
1359759322620850177,Kees,ACT
1360675550042406918,Kees,ACT
1367777154256281607,Kees,ACT
1359094318284300291,Kees,ACT
1370746761195716611,Kees,POL
