id,conversation_id,text,created_at,author_id,author_handle,total_engagement,category,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1362337711110180866,1362337711110180866,"🎇 #FVD is en blijft de grootste ledenpartij van Nederland! Met 45.322 leden op 1 januari 2021 is onze voorsprong op de kartelpartijen nog verder gegroeid.

🏛️ Op #17maart gaan we Nederland opnieuw verrassen. Word ook lid, ga naar https://t.co/mVCw5fPKY0! https://t.co/Cs1mdUtUnG",2021-02-18T09:46:35.000Z,2822530175,fvdemocratie,0.008158521438907943,,140,35,531,10
1367469560773894147,1367469560773894147,"Tweede Kamerkandidaat @EllenVerkoelen neemt vandaag deel aan het Groene Verkiezingsdebat dat door Naturalis Biodiversity Center, IUCN NL en het Deltaplan Biodiversiteitsherstel wordt georganiseerd. 🍃
Vanmiddag om 16.00 uur. Lees hier meer: https://t.co/TVt2gTWiN8 https://t.co/C3N337UXUs",2021-03-04T13:38:44.000Z,223455196,50pluspartij,0.0019193857965451055,,2,4,7,0
1369710618308206596,1369710618308206596,"Vanavond 21:00 uur in Clubhouse: 
Volt goed! 
 https://t.co/VOLGEMsyhs",2021-03-10T18:03:54.000Z,966790780869316608,VoltNederland,0.004270213510675534,,4,5,51,1
1360551538448621569,1360551538448621569,"Op weg met onze campagnetruck naar een zeer speciale ontmoeting! #StayTuned, straks meer! https://t.co/sEaa5witae",2021-02-13T11:28:59.000Z,118084079,lientje1967,0.001196145752575036,,6,3,44,1
1369604258660720640,1369604258660720640,"Een belangrijk thema dat deze verkiezingen volkomen ontbreekt is #veiligheid. #JA21 wil dat debat openbreken. Joost @Eerdmans presenteert daarom het Law &amp; Order plan: zo pakken wij criminaliteit aan en maken we Nederland veiliger!
Lees het hier ⤵️
https://t.co/5NuBqvnY4o https://t.co/c95qgcXZRJ",2021-03-10T11:01:15.000Z,1339518164410003457,JuisteAntwoord,0.017320070216500876,,30,4,112,2
1360252726303748107,1360252726303748107,"🏛️ Ook komend weekend gaat de vrijheidstour het land door! We mogen aankondigen dat we zondagochtend om 10:00 in #Aalsmeer zijn.

👉 Daar willen @thierrybaudet en @WybrenvanHaga met u over onze plannen voor Nederland spreken. Ons land moet weer open! Tot snel! #FVD https://t.co/40bLzxEKlp",2021-02-12T15:41:36.000Z,2822530175,fvdemocratie,0.009411925570583745,,159,44,611,12
1367173929614200836,1367173929614200836,"Morgen is het weer tijd voor een Q&amp;A! Vanaf 19u gaan we live met Christine Teunissen en Lammert van Raan op onze Facebook en website. Heb je vragen over klimaat, onderwijs, cultuur of financiën? Stuur ze vast in!  👇
https://t.co/8S9jSdSOK0 https://t.co/6ff60QmaJ2",2021-03-03T18:04:00.000Z,20710359,PartijvdDieren,0.001003705991352687,,10,2,39,1
1370124807866609667,1370124807866609667,"Mark Rutte tijdens het debat met Geert Wilders.

#PauwDebat https://t.co/wUsJvN1SB5",2021-03-11T21:29:44.000Z,7599192,VVD,0.001336951909759749,,28,101,188,17
1368144284189257728,1368144284189257728,Ik ga LIVE met jou in gesprek. Stel je vragen in de reacties. https://t.co/12K06yKb0q,2021-03-06T10:19:50.000Z,16708728,markrutte,0.0025127267980681375,,22,281,143,16
1361612803648405504,1361612803648405504,"Het leenstelstel voor studenten is een politiek experiment geweest. De basisbeurs moet terug. En er moet compensatie komen. 

Dit en meer in het interview met de Studenten Stemwijzer. Bekijk het hier!👇

https://t.co/TWY4GWCkFc https://t.co/jU3Rvym5Je",2021-02-16T09:46:04.000Z,254234597,MarijnissenL,0.005128841460892584,,62,20,164,2
1369041289870794752,1369041289870794752,"""Een van jullie voorstellen is om de gratis schoolboeken af te schaffen. Dat hebben we een jaar of tien nu. En het is toch een prachtig teken, een symbool. Het scheelt voor veel gezinnen veel geld."" 

@PloumenLilianne tegen @SigridKaag bij #Op1 #Op1npo https://t.co/I62BQDgYsd",2021-03-08T21:44:13.000Z,7343682,PvdA,0.0007210882586043369,,28,8,75,0
1367790243244617728,1367790243244617728,"De sociale advocatuur moet voldoende tijd en vergoeding krijgen, zodat iedereen verzekerd kan zijn van goede rechtsbijstand. 

250 redenen om #PvdD te stemmen 💚 - nr. 202. #PlanB #TK2021",2021-03-05T10:53:00.000Z,20710359,PartijvdDieren,0.0033006485484867202,,30,4,135,2
1366133066406776836,1366133066406776836,"Wij kiezen voor kwaliteit. Maar kwaliteit verschijnt niet toevallig altijd in een donker mannenpak. Zo werkt de wereld niet.

Kwaliteit ís diversiteit. Wie blind kiest voor één type mens, laat het potentieel van ons land onbenut. Nederland kan beter.
#RTLdebat https://t.co/BpcmxLdpsF",2021-02-28T21:07:59.000Z,28076891,D66,0.00031762194580809094,,14,13,39,2
1371471185679106051,1371471185679106051,"Hét stemadvies voor het voorkomen van een nieuwe pandemie: #PvdD. Nederland is het meest veedichte land ter wereld, en de nr. 2 voedsel-exporteur wereldwijd. De intensieve veehouderij is een tikkende tijdbom. Tenzij we iets doen. Kies daarom Partij voor de Dieren!

#ZML #TK2021 https://t.co/mVW1mymuic",2021-03-15T14:39:46.000Z,20710359,PartijvdDieren,0.007971741815935763,,123,11,273,6
1371327979427618818,1371327979427618818,Na een korte nacht weer naar Hilversum. De laatste loodjes zijn het leukst! https://t.co/Zrs1WU8lF7,2021-03-15T05:10:42.000Z,50241691,F_azarkan,0.0033721010253939853,,4,6,39,0
1358830850696245254,1358830850696245254,Vandaag in @refdag 👇#BBB #17maart2021 #TK2021 ✅✏️ https://t.co/gYOK9kUePq,2021-02-08T17:31:35.000Z,118084079,lientje1967,0.00039871525085834533,,2,1,15,0
1372172053860777984,1372172053860777984,"Stem vandaag SP.🍅

Voor een overheid die luistert naar mensen in plaats van levens kapot maakt zoals in de toeslagenaffaire.

Voor een eerlijk Nederland.👇
https://t.co/DeboN14uFE

#StemSP https://t.co/uveCnwVuGM",2021-03-17T13:04:46.000Z,17289752,SPnl,0.001326747550312505,,18,7,55,3
1371020036261961732,1371020036261961732,"250 redenen om #PvdD te stemmen 💚 - nr. 232. #PlanB #TK2021 #landbouw

Duurzaam geteelde plantaardige eiwitgewassen voor menselijke consumptie hebben de toekomst. Goed voor de bodem en een duurzaam perspectief voor boeren.
#detoekomstisplantaardig 🌱 https://t.co/mR2fRBp6Wl",2021-03-14T08:47:03.000Z,20710359,PartijvdDieren,0.0030883261272390363,,37,6,115,2
1358784678489186304,1358784678489186304,"Zit jij ook klaar voor het Noordelijk #lijsttrekkersdebat met @jesseklaver? We gaan zo beginnen! 🍀

Kijk hier mee:
https://t.co/lXwLGUs6l0",2021-02-08T14:28:07.000Z,11836402,groenlinks,0.0001676481066241958,,6,3,15,0
1369906157758803968,1369906157758803968,De grootste huurstijging in 6 jaar tijd. Dat is het resultaat van dit kabinet dat een woningmarkt heeft gemaakt van onze volkshuisvesting. De huren moeten omlaag! https://t.co/4XaxDp6Ikh,2021-03-11T07:00:54.000Z,254234597,MarijnissenL,0.0037845886586425114,,38,20,123,2
1358792883323760642,1358792883323760642,"In het noordelijk #lijstrekkerdebat wordt nu gesproken over betaalbaar wonen. 

@HabtamudeHoop sprak hierover onlangs met starters in Leeuwarden👇 https://t.co/3HYaIWjb0Y",2021-02-08T15:00:43.000Z,7343682,PvdA,0.0004222588901737108,,16,5,42,2
1369921035416399876,1369921035416399876,"Naphassa Parinussa is vegan ondernemer én 1 van onze lijstduwers 💪💚

Voor ons magazine Kanarie schreef ze een column over haar veganistische restaurant Waku Waku 👉het grootste vegan restaurant van Europa! 

#PlanB #PvdD #TK2021 https://t.co/U2Prmmfyv9",2021-03-11T08:00:01.000Z,20710359,PartijvdDieren,0.0008492896849907351,,5,1,34,4
1368292267367268361,1368292267367268361,Het EenVandaag #fakenews “opiniepanel” is weer bezig. Ik heb allang uitgelegd wat deze belachelijke actie van de #JudasAlliantie was rondom deze zogenaamd “gelekte” flauwekul-“appjes”. Zie hier: https://t.co/qOS70vLdBH. En dan die suggestieve vragen. Wat een triestheid. #saneren https://t.co/6nngKShCu7,2021-03-06T20:07:52.000Z,367703310,thierrybaudet,0.0042659436163910835,,210,124,720,19
1362787102883217411,1362787102883217411,"""Mijn kostbare stem gaat voor komende 4 jaar naar 1 vd nieuwkomers met grootste dosis gezond boerenverstand omdat ik overtuigd ben dat daar in Den Haag grote behoefte aan is."" Denk dat ik wel weet op welke partij met #gezondverstand @AHeijdra doelt... ✅✏️ https://t.co/Kg43grkww9",2021-02-19T15:32:19.000Z,118084079,lientje1967,0.0004208660981282534,,4,4,11,0
1368887863157403650,1368887863157403650,"Vrouwen in de politiek: bij de PvdD volstrekt vanzelfsprekend. De top 3 is vrouw! @estherouwehand, @Ct_teunissen en @LeonieVestering 🔥
We zijn de enige partij waarvan meerderheid vd volksvertegenwoordigers vrouw is, namelijk 60%.
#internationalevrouwendag #InternationalWomensDay https://t.co/9qhFspiiAr",2021-03-08T11:34:33.000Z,20710359,PartijvdDieren,0.007392680667078443,,56,21,299,7
1366009736861204482,1366009736861204482,"Alleen Van Haga en ik stemden tegen het testen-zonder-klachten. ALLE ANDERE PARTIJEN stemden ervóór. En wat liet Rutte zich ook alweer ontvallen, laatst? Oh ja! Dat testen zonder klachten volstrekt zinloos is. 😳 https://t.co/t4nhUQ3Zgd",2021-02-28T12:57:55.000Z,367703310,thierrybaudet,0.011477893029376568,,690,202,1949,46
1368689609396346881,1368689609396346881,"We mogen de volgende generaties niet opzadelen met grote schulden. Toch kiezen sommige partijen ervoor om de staatsschuld hoog te laten oplopen. 

''Dat vind ik heel erg onverstandig.'' - @WBHoekstra bij @op1npo https://t.co/frQETlPh9F",2021-03-07T22:26:46.000Z,23770198,cdavandaag,0.002448318391841393,,24,40,61,8
1370775078871437319,1370775078871437319,"De Klimaattour ging langs Den Haag, Leiden, Den Bosch en Nijmegen! Aan zee? Liever niet! Daarom is échte klimaatactie nodig! Teken de petitie voor onze #Klimaatwet 1.5!  👉 https://t.co/8zLcvY9gCD

Morgen laatste stop van de tour: het #klimaatalarm in Amsterdam! 

#PvdD #TK2021 https://t.co/so4JfTdN79",2021-03-13T16:33:41.000Z,20710359,PartijvdDieren,0.0019495058678196417,,15,5,80,1
1360537927076503552,1360537927076503552,Komende weken t/m 17 maart is #BBB te zien in Zendtijd voor Politieke partijen op nationale tv. En te horen via radiospots op nationale radio. Verder zullen we in de 355 gemeenten onze posters plakken. Kijk voor meer informatie op https://t.co/fY56ENyFs0,2021-02-13T10:34:54.000Z,118084079,lientje1967,0.0006866762653671503,,8,1,21,1
1359759322620850177,1359759322620850177,Start je ochtend 🎥 LIVE met een kop koffie en het nieuws van de dag samen met @DilanYesilgoz! https://t.co/G9QAfS1Joe,2021-02-11T07:01:00.000Z,7599192,VVD,0.0010367381575681885,,11,142,81,25
1360675550042406918,1360675550042406918,"Vandaag lekker buiten geweest? Dan nu even bijkomen en de uitzending van #StudioSGP van gisteren terugkijken over prostitutie en huwelijkstrouw en een debat tussen @KeesVee van @D66 en @keesvdstaaij van @SGPnieuws over hoe nu verder met de euro en Europa.
https://t.co/L2ddC2pG1x",2021-02-13T19:41:45.000Z,142575646,SGPnieuws,0.0008615738081562321,,2,4,8,1
1367777154256281607,1367777154256281607,"Nog 12 dagen tot verkiezingsdag!🗳

Nummer 12 op onze lijst, Kirsten van den Hul: ""Het mag niet uitmaken wie je bent, van wie je houdt, of wie je ouders zijn, voor de kansen die je krijgt.""

Doe met @kirstenvdhul mee voor een #EerlijkeToekomst 👉 https://t.co/PJdOwRjlZE https://t.co/92DJweAO5R",2021-03-05T10:01:00.000Z,7343682,PvdA,0.0005911624462431952,,12,18,58,3
1359094318284300291,1359094318284300291,Boer in Agelo brengt kinderen uit het dorp naar school. https://t.co/YJJbDkSc2O Behoud dit #noaberschap op het #platteland en kies voor #BBB bij #TK2021 op #17maart2021. @BoerBurgerB: Dé stem van het voor het platteland! ✅✏️,2021-02-09T10:58:30.000Z,118084079,lientje1967,0.0005759220290176099,,6,1,19,0
1370746761195716611,1370746761195716611,"Overal in Nederland enthousiasme voor de PVV! Het roer moet om!
Wij zetten Nederlanders weer op 1!

#PVV #StemPVV #Wilders https://t.co/dsJw0kGlvn",2021-03-13T14:41:09.000Z,41778159,geertwilderspvv,0.0018749139546333825,,245,63,1291,8
