id,author_id,conversation_id,text,created_at,author_handle,total_engagement,category,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1363448317280219137,41778159,1363448317280219137,"Alleen de kiezer is de baas op 17 maart! Niemand anders!

#StemPVV #wnlopzondag #Wilders #PVV https://t.co/io7NbTinfY",2021-02-21T11:19:45.000Z,geertwilderspvv,0.002630946464031287,,343,154,1735,23
1367393274416295938,41778159,1367393274416295938,"De PVV krijgt geen cent subsidie.

Steun ons met onze campagne, nog een dag of tien tot de stembussen opengaan! 

Iedere donatie is welkom. 

Veel dank alvast! 🙏

#StemPVV #SteunPVV #PVV https://t.co/Jh9JYl1jog",2021-03-04T08:35:36.000Z,geertwilderspvv,0.0014163942382855797,,281,92,830,11
1369638608727126021,1339518164410003457,1369638608727126021,"#JA21 gaat VANAVOND om 20.00 uur online! De studio is omgebouwd tot een JA21-woonkamer. Onze topkandidaten zullen u vanaf daar toespreken en met elkaar in gesprek gaan. #WelkomThuis

🖥️YOUTUBE: 
https://t.co/tNSuFO2u8x

💻 FACEBOOK: https://t.co/TyKuuxNVHZ https://t.co/4ubZxPuqEW",2021-03-10T13:17:45.000Z,JuisteAntwoord,0.021416032767700408,,41,24,109,9
1367845401034899458,20710359,1367845401034899458,"🌳 🔥 Bomen verbranden is niet duurzaam! #biomassa 

@estherouwehand sprak vanochtend bij #GoedemorgenNederland over de @NLRebellion actie bij de #biomassacentrale in Diemen 💪👇 https://t.co/7sdVuHAJJK",2021-03-05T14:32:11.000Z,PartijvdDieren,0.0051150401482396544,,62,11,189,3
1371531204772630528,41778159,1371531204772630528,"De VVD staat voor de afbraak van de zorg!

#eenvandaag #PVV #Wilders https://t.co/4rxxlThtvg",2021-03-15T18:38:15.000Z,geertwilderspvv,0.001389559751069296,,229,60,895,7
1362021447733047296,966790780869316608,1362021447733047296,"Vol overtuiging belooft @VoltNederland - met een handtekening van lijsttrekker @DassenLaurens - zich in te zullen zetten voor 0,7% investeringen in ontwikkelingssamenwerking. 
Zoals het hoort. 

@Cordaid @oxfamnovib
@PartosNL @ONENederland https://t.co/fXO60vmtyz",2021-02-17T12:49:52.000Z,VoltNederland,0.009240462023101154,,21,2,104,5
1365356687775956993,17289752,1365356687775956993,"Sinds mevrouw Den Haan de baas werd van 50PLUS steunen ze het pensioenakkoord, een hogere pensioenleeftijd en het eigen risico. En ze zijn ineens tegen het Nationaal Zorgfonds. Wat is er daar gebeurd?

@NPORadio1 #verkiezingsdebat https://t.co/Lgk5L0J3ch",2021-02-26T17:42:56.000Z,SPnl,0.003196982048945795,,53,23,116,8
1361390317795241986,1336988716515155969,1361390317795241986,"Samen met de Rotterdamse burgemeester Aboutaleb op Zuid gesproken met wijkbewoners, leraren en kleine ondernemers. Ondanks de regen en de gladheid een inspirerend bezoek!

(Foto Thijs Rooimans) https://t.co/yC8uHQAIVC",2021-02-15T19:01:59.000Z,PloumenLilianne,0.02608630841469777,,33,41,273,3
1367054517813002243,139400870,1367054517813002243,"Dit is de deciding decade om de klimaatcrisis te keren. Een eerste stap is stoppen met verdragen als #Mercosur, #Ceta en ook dit fossiele Energieverdrag.

Sluit je aan bij het #groeiendverzet #TK2021 

#StopECT ✊

https://t.co/UjUdRSNa8r",2021-03-03T10:09:30.000Z,estherouwehand,0.00779423226812159,,69,11,179,1
1365592717816913927,2822530175,1365592717816913927,"Een jaar waarin mensen thuis opgesloten zaten, ouders niet meer mochten knuffelen, bedrijven kapot zagen gaan, begrafenissen via een iPad hebben bijgewoond en hun kinderen depressief zagen worden.

Hugo had het voor geen goud willen missen.

#17maartFVD https://t.co/SZkpw4GZMr",2021-02-27T09:20:50.000Z,fvdemocratie,0.019131504882578823,,409,157,1034,79
1372103024009691142,367703310,1372103024009691142,"NEDERLAND = VRIJHEID
NEDERLAND = #FVD https://t.co/8pq1pT37Q2",2021-03-17T08:30:28.000Z,thierrybaudet,0.004902058228341291,,235,53,928,17
1360536716663271426,1247853156542877696,1360536716663271426,"Ik bel Het Kind om te vragen wat dat gele lampje op dashboard betekent. “Motorstoring. Hoezo ga jij de weg op? Zitten je winterbanden er wel op? Waar moet je heen? 100 km verderop? Blijf thuis, ik kom je nu halen!” ☺️

#JeKrijgtErZoveelVoorTerug
#VerkiezingsfestivalBIJ1",2021-02-13T10:30:05.000Z,SylvanaBIJ1,0.0043925785091457415,,1,4,62,0
1371492890409598976,223455196,1371492890409598976,"50PLUS is op de uitslagenavond van 17 maart via een livestream op Facebook te volgen. Het team van 50PLUS komt die avond niet fysiek bij elkaar. “Wij zijn zo solidair met alle mensen die al een jaar aan huis gekluisterd zijn”, aldus @LianedenHaan.
https://t.co/0a41y1kVzC",2021-03-15T16:06:00.000Z,50pluspartij,0.0017717407352724052,,2,4,4,2
1370990359342366720,367703310,1370990359342366720,Onderweg naar Sluis (Zeeuws-Vlaanderen)! #FVD #vrijheidskaravaan,2021-03-14T06:49:08.000Z,thierrybaudet,0.004468705148950212,,138,71,904,11
1367058931487567872,17422867,1367058931487567872,"Ons klimaat, onze natuur en onze gezondheid staan op het spel. 

Het komende kabinet moet een klimaatkabinet worden, want we hebben nog 10 jaar om een klimaatcrisis te stoppen. 

Stem 15-17 maart GroenLinks.

#MeerDuurzaamheid
#MeerGroenLinks

https://t.co/Pr6Ig5i8l6",2021-03-03T10:27:02.000Z,jesseklaver,0.002050047987353921,,41,343,134,63
1368943338058088456,223455196,1368943338058088456,".@FritsWester stelt 5 vragen aan @LianedenHaan. De politiek verslaggever van @RTLnieuws legt de lijsttrekker van @50PLUSpartij een dilemma voor, en hij vraagt wat zij nog nooit eerder aan het grote publiek verteld heeft. 
https://t.co/EIOJVgBkqK",2021-03-08T15:15:00.000Z,50pluspartij,0.005019932083271814,,8,5,19,2
1370303628553125888,139400870,1370303628553125888,"Het is tijd voor Plan B, omdat er geen planeet B is! 🌎🌍🌏

Radio-interview met @BNR over ons verkiezingsprogramma.

#PlanB https://t.co/SsBwccb90V",2021-03-12T09:20:18.000Z,estherouwehand,0.006325319263744829,,42,5,156,8
