tweet_id,annotator_id,code
1365667922841137156,Erik,NONE
1365678920650088449,Erik,SUP
1362844007483727876,Erik,NONE
1371461920822341633,Erik,NONE
1362476635837054985,Erik,FOL
1371593869872173060,Erik,SUP
1360606218675437570,Erik,SUP
1367090653000253442,Erik,NONE
1366152400243941380,Erik,NONE
1357584845396918272,Erik,NONE
1358443576812859395,Erik,NONE
1371463081113567233,Erik,FOL
1359478457915301889,Erik,NONE
1360150897096073216,Erik,NONE
1361798837271158787,Erik,SUP
1368289137082707971,Erik,NONE
1357799501138919431,Erik,NONE
1370818006750789633,Erik,SUP
1363448317280219137,Erik,SUP
1367393274416295938,Erik,SUP
1369638608727126021,Erik,NONE
1367845401034899458,Erik,NONE
1371531204772630528,Erik,NONE
1362021447733047296,Erik,NONE
1365356687775956993,Erik,NONE
1361390317795241986,Erik,NONE
1367054517813002243,Erik,SUP
1365592717816913927,Erik,NONE
1372103024009691142,Erik,NONE
1360536716663271426,Erik,NONE
1371492890409598976,Erik,NONE
1370990359342366720,Erik,NONE
1367058931487567872,Erik,SUP
1368943338058088456,Erik,NONE
1370303628553125888,Erik,NONE
1371935686161481728,Erik,SUP
1363827465177726977,Erik,SUP
1361766436306313220,Erik,NONE
1372267730859081728,Erik,FOL
1371374830558253057,Erik,FOL
1371356183630581761,Erik,NONE
1368469285765529600,Erik,SUP
1365702231379607553,Erik,NONE
1364553230806573057,Erik,NONE
1370401228056887306,Erik,NONE
1364558004394340353,Erik,NONE
1365738474209484806,Erik,SUP
1368669044270919680,Erik,FOL
1371089366198681600,Erik,SUP
1370297680337993728,Erik,NONE
1365667922841137156,Lisa,NONE
1365678920650088449,Lisa,SUP
1362844007483727876,Lisa,NONE
1371461920822341633,Lisa,NONE
1362476635837054985,Lisa,FOL
1371593869872173060,Lisa,SUP
1360606218675437570,Lisa,SUP
1367090653000253442,Lisa,NONE
1366152400243941380,Lisa,NONE
1357584845396918272,Lisa,NONE
1358443576812859395,Lisa,NONE
1371463081113567233,Lisa,FOL
1359478457915301889,Lisa,NONE
1360150897096073216,Lisa,NONE
1361798837271158787,Lisa,SUP
1368289137082707971,Lisa,NONE
1357799501138919431,Lisa,NONE
1370818006750789633,Lisa,SUP
1363448317280219137,Lisa,SUP
1367393274416295938,Lisa,SUP
1369638608727126021,Lisa,CON
1367845401034899458,Lisa,NONE
1371531204772630528,Lisa,NONE
1362021447733047296,Lisa,NONE
1365356687775956993,Lisa,NONE
1361390317795241986,Lisa,NONE
1367054517813002243,Lisa,SUP
1365592717816913927,Lisa,NONE
1372103024009691142,Lisa,NONE
1360536716663271426,Lisa,NONE
1371492890409598976,Lisa,FOL
1370990359342366720,Lisa,NONE
1367058931487567872,Lisa,SUP
1368943338058088456,Lisa,NONE
1370303628553125888,Lisa,NONE
1371935686161481728,Lisa,SUP
1363827465177726977,Lisa,SUP
1361766436306313220,Lisa,NONE
1372267730859081728,Lisa,FOL
1371374830558253057,Lisa,FOL
1371356183630581761,Lisa,CON
1368469285765529600,Lisa,SUP
1365702231379607553,Lisa,NONE
1364553230806573057,Lisa,NONE
1370401228056887306,Lisa,NONE
1364558004394340353,Lisa,NONE
1365738474209484806,Lisa,SUP
1368669044270919680,Lisa,FOL
1371089366198681600,Lisa,SUP
1370297680337993728,Lisa,NONE
